Name	Set	ImageFile	Type	Stage	HP	Weakness	Resistance	RetreatCost	Rarity	Text
Dark Electrode (TRR)	TRR	TRR_004	Lightning/Darkness	Stage 1 - Voltorb	70	Fighting x2		1	Rare Holo	This Pokemon is both [L][D] type. | Poke-Power: Darkness Navigation. Once during your turn (before your attack), if Dark Electrode has no Energy attached to it, you may search your deck for a [D] or Dark Metal Energy and attach it to Dark Electrode. Shuffle your deck afterward. This power can't be used if Dark Electrode is affected by a Special Condition. | [L] Energy Bomb: 30 damage. You may move all Energy cards attached to Dark Electrode to your Benched Pokemon in any way you like.
Dark Houndoom (TRR-1)	TRR	TRR_005	Fire/Darkness	Stage 1 - Houndour	70	Fighting x2	Psychic -30	1	Rare Holo	This Pokemon is both [R][D] type. | [D][C] Shakedown: 20 damage. Choose a card from your opponent's hand without looking and discard it. | [R][C][C] Dark Fire: 40+ damage. You may discard a [R] Energy or [D] Energy attached to Dark Houndoom. If you do, this attack does 40 damage plus 20 more damage.
Dark Hypno (TRR)	TRR	TRR_006	Psychic/Darkness	Stage 1 - Drowzee	70	Psychic x2		1	Rare Holo	This Pokemon is both [P][D] type. | [C] Dark Link: Flip a coin. If heads, choose an attack on 1 of your Pokemon in play that has Dark in its name (excluding this one). Dark Link copies that attack except for its Energy cost. (You must still do anything else required for that attack.) (No matter what type that Pokemon is, Dark Hypno's type is still [P][D].) Dark Hypno performs that attack. | [P][C] Black Magic: 20x damage. Does 20 damage times the number of your opponent's Benched Pokemon.
Dark Marowak (TRR)	TRR	TRR_007	Fighting/Darkness	Stage 1 - Cubone	70	Grass x2		1	Rare Holo	This Pokemon is both [F][D] type. | [C][C] Brick Smash: 30 damage. This attack's damage isn't affected by Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon. | [F][F][C] Hard Bone: 70 damage. Discard a Basic Pokemon or Evolution card from your hand or this attack does nothing.
Dark Octillery (TRR)	TRR	TRR_008	Water/Darkness	Stage 1 - Remoraid	70	Lightning x2		1	Rare Holo	This Pokemon is both [W][D] type. | [W] Black Suction Cups: Does 10 damage to each Defending Pokemon. Flip a coin. If heads, each Defending Pokemon is now Paralyzed. | [C][C] Ink Blast: 30+ damage. Does 30 damage plus 10 more damage for each Energy attached to Dark Octillery but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.
Dark Slowking (TRR)	TRR	TRR_009	Psychic/Darkness	Stage 1 - Slowpoke	80	Grass x2		1	Rare Holo	This Pokemon is both [P][D] type. | Poke-Power: Cunning. Once during your turn (before your attack), you may look at the top card of your opponent's deck. Then, you may shuffle his or her deck. This power can't be used if Dark Slowking is affected by a Special Condition. | [P][C] Litter: 20+ damage. You may discard a combination of up to 2 Pokemon Tool cards and Rocket's Secret Machine cards from your hand. If you do, this attack does 20 damage plus 30 more damage for each card you discarded.
Dark Steelix (TRR)	TRR	TRR_010	Darkness/Metal	Stage 1 - Onix	110	Fire x2	Grass -30	4	Rare Holo	This Pokemon is both [D][M] type. | [C][C] Energy Link: 20 damage. Search your discard pile for an Energy card and attach it to Dark Steelix. | [F][C][C][C] Heavy Impact: 60 damage.
Jumpluff (TRR)	TRR	TRR_011	Grass	Stage 2 - Skiploom	90	Fire x2	Water -30	0	Rare Holo	Poke-Body: Buffer. If Jumpluff would be Knocked Out by an opponent's attack, flip a coin. If heads, Jumpluff is not Knocked Out and its remaining HP becomes 10 instead. | [C] Energy Crush: 10+ damage. Does 10 damage plus 10 more damage for each Energy attached to all of your opponent's Pokemon.
Kingdra (TRR)	TRR	TRR_012	Water	Stage 2 - Seadra	120	Lightning x2		2	Rare Holo	Poke-Body: Dragon Veil. As long as Kingdra is in play, each of your Active Pokemon has no Weakness. | [C][C] Hyper Whirlpool: 20 damage. Flip a coin until you get tails. For each heads, discard an Energy card attached to the Defending Pokemon. | [W][C][C] Aqua Sonic: 50 damage. This attack's damage is not affected by Resistance.
Piloswine (TRR)	TRR	TRR_013	Fighting	Stage 1 - Swinub	100	Grass x2		2	Rare Holo	[C][C] Sheer Cold: 20 damage. Flip a coin. If heads, each Defending Pokemon can't attack during your opponent's next turn. | [F][F][C][C] Tonnage: 60+ damage. You may do 60 damage plus 40 more damage. If you do, Piloswine does 30 damage to itself.
Togetic (TRR)	TRR	TRR_014	Colorless	Stage 1 - Togepi	70	Lightning x2	Fighting -30	1	Rare Holo	Poke-Body: Holy Shield. Prevent all effects of attacks, including damage, done to Togetic by your opponent's Pokemon that has Dark in its name. | [C][C] Dive: 30 damage. | [C][C][C] Rainbow Moves: Choose 1 of your opponent's Benched Pokemon's attacks. Rainbow Moves copies that attack except for its Energy cost. (You must still do anything else required for that attack.) (No matter what type that Pokemon is, Togetic's type is still [C].) Togetic performs that attack.
Dark Dragonite (TRR)	TRR	TRR_015	Darkness	Stage 2 - Dark Dragonair	120	Colorless x2	Grass/Fighting -30	2	Rare	Poke-Power: Dark Trance. As often as you like during your turn (before your attack), you may move a [D] Energy card attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Dark Dragonite is affected by a Special Condition. | [W][L] Double Wing Attack: Does 30 damage to each Defending Pokemon. | [C][C][C] Claw Swipe: 50 damage.
Dark Muk (TRR)	TRR	TRR_016	Grass/Darkness	Stage 1 - Grimer	70	Psychic x2		1	Rare	This Pokemon is both [G][D] type. | Poke-Body: Sticky Goo. As long as Dark Muk is your Active Pokemon, your opponent pays [C][C] more to retreat his or her Active Pokemon. | [C][C] Slimy Water: 10x damage. Does 10 damage times the number of [C] Energy in the Defending Pokemon's Retreat Cost (after applying effects to the Retreat Cost). | [G][C] Acidic Poison: 10 damage. The Defending Pokemon is now Burned and Poisoned.
Dark Raticate (TRR)	TRR	TRR_017	Darkness	Stage 1 - Rattata	70	Fighting x2		0	Rare	[D] Dark Seed: The Defending Pokemon can't retreat during your opponent's next turn. Put 5 damage counters on the Defending Pokemon at the end of your opponent's next turn. | [C][C] Spread Poison: 10 damage. The Defending Pokemon is now Poisoned. This attack does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Dark Sandslash (TRR)	TRR	TRR_018	Fighting/Darkness	Stage 1 - Sandshrew	70	Grass x2		0	Rare	This Pokemon is both [F][D] type. | Poke-Body: Poison Payback. If Dark Sandslash is your Active Pokemon and is damaged by an opponent's attack (even if Dark Sandslash is Knocked Out), the Attacking Pokemon is now Poisoned. | [C][C][C] Swift: 50 damage. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.
Dark Tyranitar (TRR-1)	TRR	TRR_019	Darkness	Stage 2 - Dark Pupitar	120	Fighting x2	Psychic -30	2	Rare	[C] Grind: 10+ damage. Does 10 damage plus 10 more damage for each Energy attached to Dark Tyranitar. | [D][C][C] Spinning Tail: Does 20 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [D][D][C][C][C] Bite Off: 70+ damage. If the Defending Pokemon is Pokemon-ex, this attack does 70 damage plus 50 more damage.
Dark Tyranitar (TRR-2)	TRR	TRR_020	Fighting/Darkness	Stage 2 - Dark Pupitar	120	Grass x2		3	Rare	This Pokemon is both [F][D] type. | Poke-Body: Sand Damage. As long as Dark Tyranitar is your Active Pokemon, put 1 damage counter on each of your opponent's Benched Basic Pokemon between turns. You can't use more than 1 Sand Damage Poke-Body between turns. | [F][C][C] Second Strike: 50+ damage. If the Defending Pokemon already has at least 2 damage counters on it, this attack does 50 damage plus 20 more damage.
Delibird (TRR)	TRR	TRR_021	Water	Basic	70	Metal x2		1	Rare	Poke-Power: Gift Exchange. Once during your turn (before your attack), if Delibird is your Active Pokemon, you may shuffle 1 card from your hand into your deck. Then, draw a card. This power can't be used if Delibird is affected by a Special Condition. | [C][C] Souvenir: Flip 3 coins. If 1 of them is heads, put 4 damage counters on the Defending Pokemon. If 2 of them are heads, remove 1 damage counter from the Defending Pokemon. If all of them are heads, put 10 damage counters on the Defending Pokemon. If all of them are tails, remove all damage counters from the Defending Pokemon.
Furret (TRR)	TRR	TRR_022	Colorless	Stage 1 - Sentret	80	Fighting x2		1	Rare	[C] Quick Change: Choose up to 3 cards in your hand and put them on top of your deck. Then, search your deck for that many cards and put them into your hand. Shuffle your deck afterward. | [C][C] Quick Tail Smash: 30 damage. Before doing damage, you may flip a coin. If heads, this attack does 80 damage instead. If tails, this attack does nothing.
Ledian (TRR)	TRR	TRR_023	Grass	Stage 1 - Ledyba	70	Fire x2		1	Rare	Poke-Body: Powder Protection. Any damage done to Ledian by attacks from Pokemon that has an owner in its name is reduced by 40. | [C][C] Split Spiral Punch: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Confused. | [G][C][C] Tackle: 50 damage.
Magby (TRR)	TRR	TRR_024	Fire	Basic	50	Water x2		1	Rare	Poke-Power: Baby Evolution. Once during your turn (before your attack), you may put Magmar from your hand onto Magby (this counts as evolving Magby), and remove all damage counters from Magby. | [C] Detour: If you have a Supporter card in play, use the effect on that card as the effect of this attack.
Misdreavus (TRR)	TRR	TRR_025	Psychic	Basic	60	Darkness x2	Fighting -30	1	Rare	Poke-Power: Dark Spell. Once during your turn (before your attack), if Misdreavus is your Active Pokemon, you may flip a coin. If heads, put 1 damage counter on 1 of your opponent's Pokemon. This power can't be used if Misdreavus is affected by a Special Condition or if your other Active Pokemon is not Misdreavus. | [P][C] Hide in Shadows: 20 damage. Switch Misdreavus with 1 of your Benched Pokemon.
Quagsire (TRR)	TRR	TRR_026	Water	Stage 1 - Wooper	80	Grass x2		2	Rare	Poke-Body: Saturation. When you attach a [W] Energy card from your hand to Quagsire, remove all Special Conditions and 2 damage counters from Quagsire. | [W] Hyper Pump: 20+ damage. Does 20 damage plus 20 more damage for each basic Energy card attached to Quagsire but not used to pay for this attack's Energy cost. You can't add more than 60 damage in this way.
Qwilfish (TRR)	TRR	TRR_027	Water	Basic	60	Lightning x2		1	Rare	Poke-Body: Spiny. If Qwilfish is your Active Pokemon and is damaged by an opponent's attack (even if Qwilfish is Knocked Out), flip a coin until you get tails. For each heads, put 1 damage counter on the Attacking Pokemon. | [W][C] Stun Poison: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed and Poisoned.
Yanma (TRR)	TRR	TRR_028	Grass	Basic	70	Lightning x2	Fighting -30	1	Rare	[C] Quick Charge: Search your deck for up to 4 different types of basic Energy cards, show them to your opponent, and put them into your hand. Shuffle your deck afterward. | [C] Swift: 20 damage. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.
Dark Arbok (TRR)	TRR	TRR_029	Grass/Darkness	Stage 1 - Ekans	90	Psychic x2		1	Uncommon	This Pokemon is both [G][D] type. | [G] Swallow Up: 10+ damage. Before doing damage, count the remaining HP of the Defending Pokemon and Dark Arbok. If the Defending Pokemon has fewer remaining HP than Dark Arbok's, this attack does 10 damage plus 30 more damage. | [C][C] Extra Poison: 30 damage. If the Defending Pokemon is Pokemon-ex, the Defending Pokemon is now Asleep and Poisoned.
Dark Ariados (TRR)	TRR	TRR_030	Grass/Darkness	Stage 1 - Spinarak	70	Fire x2		1	Uncommon	This Pokemon is both [G][D] type. | [C] Super Poison Breath: Each Defending Pokemon is now Poisoned. | [G][C][C] Breaking Impact: Choose 1 of your opponent's Pokemon. This attack does 20 damage for each [C] Energy in that Pokemon's Retreat Cost (after applying effects to the Retreat Cost). (Don't apply Weakness and Resistance for Benched Pokemon.)
Dark Dragonair (TRR-1)	TRR	TRR_031	Darkness	Stage 1 - Dratini	70	Colorless x2	Grass/Fighting -30	1	Uncommon	Poke-Power: Evolutionary Light. Once during your turn (before your attack), if Dark Dragonair is your Active Pokemon, you may search your deck for an Evolution card. Show it to your opponent and put it into your hand. Shuffle your deck afterward. This power can't be used if Dark Dragonair is affected by a Special Condition. | [W][L] Dragon Rage: 30 damage.
Dark Dragonair (TRR-2)	TRR	TRR_032	Darkness	Stage 1 - Dratini	80	Colorless x2	Grass/Fighting -30	1	Uncommon	[W][C] Double Tackle: Does 20 damage to each Defending Pokemon. | [L][C][C] Crushing Blow: 40 damage. Flip a coin. If heads, discard an Energy card attached to the Defending Pokemon.
Dark Flaaffy (TRR)	TRR	TRR_033	Lightning/Darkness	Stage 1 - Mareep	80	Fighting x2		1	Uncommon	This Pokemon is both [L][D] type. | [C] Thunder Slash: 10 damage. If the Defending Pokemon is a Basic Pokemon, the Defending Pokemon is now Paralyzed. Dark Flaaffy can't use Thunder Slash during your next turn. | [L][C] Headbutt: 20 damage.
Dark Golbat (TRR)	TRR	TRR_034	Grass/Darkness	Stage 1 - Zubat	70	Psychic x2		0	Uncommon	This Pokemon is both [G][D] type. | [G] Night Ambush: Does 30 damage to 1 of your opponent's Pokemon. Dark Golbat can't attack during your next turn. (Don't apply Weakness and Resistance for Benched Pokemon.)
Dark Golduck (TRR)	TRR	TRR_035	Water/Darkness	Stage 1 - Psyduck	70	Lightning x2		1	Uncommon	This Pokemon is both [W][D] type. | [W][C] Darkness Shield: 20 damage. Flip a coin. If heads, prevent all effects of an attack, including damage, done to each of your Active Pokemon during your opponent's next turn. | [W][C][C] Cold Crush: 40 damage. You may discard an Energy card attached to Dark Golduck. If you do, discard an Energy attached to the Defending Pokemon.
Dark Gyarados (TRR)	TRR	TRR_036	Water/Darkness	Stage 1 - Magikarp	80	Lightning x2	Fighting -30	2	Uncommon	This Pokemon is both [W][D] type. | Poke-Body: Dark Scale. If Dark Gyarados is your Active Pokemon and is Knocked Out by an opponent's attack, put 3 damage counters on the Attacking Pokemon. | [W][C] Sharp Fang: 30 damage. | [W][C][C] Dark Streak: 40 damage. Flip a coin. If heads, each Defending Pokemon is now Paralyzed.
Dark Houndoom (TRR-2)	TRR	TRR_037	Fire/Darkness	Stage 1 - Houndour	70	Water x2		1	Uncommon	This Pokemon is both [R][D] type. | Poke-Power: Fire Breath. Once during your turn (before your attack), if Dark Houndoom is your Active Pokemon, you may flip a coin. If heads, the Defending Pokemon (choose 1 if there are 2) is now Burned. This power can't be used if Dark Houndoom is affected by a Special Condition. | [R][C][C] Fire Payback: 40+ damage. If you have less Benched Pokemon than your opponent, this attack does 40 damage plus 20 more damage.
Dark Magcargo (TRR)	TRR	TRR_038	Fire/Darkness	Stage 1 - Slugma	80	Water x2		2	Uncommon	This Pokemon is both [R][D] type. | [C] Energy Press: 10+ damage. Does 10 damage plus 10 more damage for each basic Energy card attached to all of your Active Pokemon. | [F][C][C] Linear Attack: Choose 1 of your opponent's Pokemon. This attack does 40 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Dark Magneton (TRR)	TRR	TRR_039	Lightning/Darkness	Stage 1 - Magnemite	70	Fighting x2		1	Uncommon	This Pokemon is both [L][D] type. | [L][C] Magnetic Lines: 20 damage. If your opponent has at least 2 Pokemon in play, move a basic Energy card attached to the Defending Pokemon to another of your opponent's Pokemon. | [L][C][C] Poison Pulse: 40 damage. The Defending Pokemon is now Poisoned.
Dark Pupitar (TRR-1)	TRR	TRR_040	Fighting/Darkness	Stage 1 - Larvitar	70	Grass x2		1	Uncommon	This Pokemon is both [F][D] type. | [C] Explosive Evolution: Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance.) Then, search your deck for a card that evolves from Dark Pupitar and put it on Dark Pupitar. (This counts as evolving Dark Pupitar.) Shuffle your deck afterward. | [F][C] Double Tackle: Does 20 damage to each Defending Pokemon.
Dark Pupitar (TRR-2)	TRR	TRR_041	Fighting/Darkness	Stage 1 - Larvitar	80	Grass x2		2	Uncommon	This Pokemon is both [F][D] type. | [C][C] Dark Streak: 20 damage. Flip a coin. If heads, each Defending Pokemon is now Paralyzed. | [F][C][C] Rock Tumble: 40 damage. This attack's damage is not affected by Resistance.
Dark Weezing (TRR)	TRR	TRR_042	Grass/Darkness	Stage 1 - Koffing	80	Psychic x2		2	Uncommon	This Pokemon is both [G][D] type. | Poke-Body: Methane Leak. As long as Dark Weezing is your Active Pokemon, put 1 damage counter on each Pokemon that remains Poisoned between turns. | [C] Smog: The Defending Pokemon is now Poisoned. | [G][C][C] Darkness Charge: 50 damage. Put 2 damage counters on Dark Weezing.
Heracross (TRR)	TRR	TRR_043	Fighting	Basic	70	Psychic x2		1	Uncommon	Poke-Body: Crust. Any damage done to Heracross by attacks from your opponent's Basic Pokemon is reduced by 20 (after applying Weakness and Resistance). | [F][C] Get Even: 20+ damage. If you have more Prize cards left than your opponent, this attack does 20 damage plus 10 more damage for each Prize card more than your opponent.
Magmar (TRR)	TRR	TRR_044	Fire	Basic	70	Water x2		1	Uncommon	[C] Dump and Draw: Discard up to 2 Energy cards from your hand. Then, draw 2 cards for each Energy card you discarded. | [R][C][C] Flame Tail: 40 damage.
Mantine (TRR)	TRR	TRR_045	Water	Basic	70	Lightning x2		1	Uncommon	Poke-Power: Ripples. Once during your turn (before your attack), you may remove 1 damage counter from 1 of your Pokemon (excluding Mantine). This power can't be used if Mantine is affected by a Special Condition. | Aqua Slash: 30 damage. Mantine can't attack during your next turn.
Rocket's Meowth (TRR)	TRR	TRR_046	Darkness	Basic	60	Fighting x2		1	Uncommon	[C] Snatch and Run: Search your deck for a Pokemon Tool card or Rocket's Secret Machine card, show it to your opponent, and put it into your hand. If you do, you may switch Rocket's Meowth with 1 of your Benched Pokemon. Shuffle your deck afterward. | [C][C] Miraculous Comeback: 10x damage. Flip a coin for each Pokemon in play (both yours and your opponent's). This attack does 10 damage times the number of heads. Rocket's Meowth does 10 damage times the number of tails to itself.
Rocket's Wobbuffet (TRR)	TRR	TRR_047	Darkness	Basic	70	Psychic x2		1	Uncommon	[C] Dark Aid: Search your discard pile for Pokemon Tool cards and Rocket's Secret Machine cards. You may show either 1 Pokemon Tool card or Rocket's Secret Machine card to your opponent and put it into your hand, or show a combination of 3 Pokemon Tool cards or Rocket's Secret Machine cards to your opponent and shuffle them into your deck. | [P][C] Amnesia: 10 damage. Choose 1 of the Defending Pokemon's attacks. That Pokemon can't use that attack during your opponent's next turn.
Seadra (TRR)	TRR	TRR_048	Water	Stage 1 - Horsea	70	Lightning x2		1	Uncommon	[W][C] Confuse Ray: 10 damage. The Defending Pokemon is now Confused. | [W][C][C] Aqua Trick: 30 damage. Move 1 Energy card attached to the Defending Pokemon to 1 of your opponent's Benched Pokemon. If your opponent has no Benched Pokemon, this effect does nothing.
Skiploom (TRR)	TRR	TRR_049	Grass	Stage 1 - Hoppip	60	Fire x2	Water -30	0	Uncommon	Poke-Body: Buffer. If Skiploom would be Knocked Out by an opponent's attack, flip a coin. If heads, Skiploom is not Knocked Out and its remaining HP becomes 10 instead. | [C] Miracle Powder: 10 damage. Flip a coin. If heads, choose 1 Special Condition. The Defending Pokemon is now affected by that Special Condition.
Togepi (TRR)	TRR	TRR_050	Colorless	Basic	40	Fighting x2		1	Uncommon	[C] Yawn: The Defending Pokemon is now Asleep. | [C][C] Mini-Metronome: Flip a coin. If heads, choose 1 of the Defending Pokemon's attacks. Mini-Metronome copies that attack except for its Energy cost. (You must still do anything else required for that attack.) (No matter what type that Pokemon is, Togepi's type is still [C].) Togepi performs that attack.
Cubone (TRR)	TRR	TRR_051	Fighting	Basic	50	Grass x2		1	Common	[C] Look for Friends: Reveal cards from your deck until you reveal a Basic Pokemon. Show that card to your opponent and put it into your hand. Shuffle the other revealed cards into your deck. (If you don't reveal a Basic Pokemon, shuffle all the revealed cards back into your deck.) | [F] Bonemerang: 10x damage. Flip 2 coins. This attack does 10 damage times the number of heads.
Dratini (TRR-1)	TRR	TRR_052	Colorless	Basic	40			1	Common	[C] Pound: 10 damage.
Dratini (TRR-2)	TRR	TRR_053	Colorless	Basic	50	Colorless x2	Grass/Fighting -30	1	Common	[C] Dragon Song: Each Defending Pokemon is now Asleep. | [W][L] Tail Strike: 20+ damage. Flip a coin. If heads, this attack does 20 damage plus 10 more damage.
Drowzee (TRR)	TRR	TRR_054	Psychic	Basic	50	Psychic x2		1	Common	Poke-Power: Insomnia. Drowzee can't be Asleep. | [C] Soothing Wave: 10 damage. Flip a coin. If heads, each Defending Pokemon is now Asleep.
Ekans (TRR)	TRR	TRR_055	Grass	Basic	60	Psychic x2		1	Common	[C] Tail Wrap: Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Grimer (TRR)	TRR	TRR_056	Grass	Basic	50	Psychic x2		1	Common	[C] Taunt: Choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon. Your opponent chooses the Defending Pokemon to switch. | [C][C] Spit Poison: 10 damage. The Defending Pokemon is now Poisoned.
Hoppip (TRR)	TRR	TRR_057	Grass	Basic	30	Fire x2	Water -30	1	Common	Poke-Body: Buffer. If Hoppip would be Knocked Out by an opponent's attack, flip a coin. If heads, Hoppip is not Knocked Out and its remaining HP becomes 10 instead. | [C] Miracle Powder: Flip a coin. If heads, choose 1 Special Condition. The Defending Pokemon is now affected by that Special Condition.
Horsea (TRR)	TRR	TRR_058	Water	Basic	50	Lightning x2		1	Common	[C] Water Plant: Search your discard pile for up to 2 [W] Energy cards, show them to your opponent, and put them into your hand. | [W][W] Swift: 30 damage. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.
Houndour (TRR-1)	TRR	TRR_059	Fire	Basic	50	Water x2		1	Common	[C] Rear Kick: 10 damage. | [R][C] Smokescreen: 20 damage. If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.
Houndour (TRR-2)	TRR	TRR_060	Fire	Basic	50	Water x2		1	Common	Poke-Body: Dark Lift. If Houndour has any [D] Energy attached to it, the Retreat Cost for Houndour is 0. | [R] Firebreathing: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 10 more damage.
Koffing (TRR)	TRR	TRR_061	Grass	Basic	50	Psychic x2		1	Common	Poke-Body: Knockout Gas. If Koffing is your Active Pokemon and is Knocked Out by an opponent's attack, the Attacking Pokemon is now Confused and Poisoned. | [C] Gnaw: 10 damage.
Larvitar (TRR-1)	TRR	TRR_062	Fighting	Basic	50	Grass x2		1	Common	[F] Fury Attack: 10x damage. Flip 3 coins. This attack does 10 damage times the number of heads.
Larvitar (TRR-2)	TRR	TRR_063	Fighting	Basic	50	Grass x2		1	Common	[C] Light Punch: 10 damage. | [F][C] Dig Drain: 20 damage. Remove 1 damage counter from Larvitar.
Ledyba (TRR)	TRR	TRR_064	Grass	Basic	50	Fire x2		1	Common	[C] Call for Family: Search your deck for a [G] Basic Pokemon and put it onto your Bench. Shuffle your deck afterward. | [G][C] Beat: 20 damage.
Magikarp (TRR)	TRR	TRR_065	Water	Basic	30	Lightning x2		1	Common	[W] Call for Friends: Search your deck for up to 2 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.
Magnemite (TRR)	TRR	TRR_066	Lightning	Basic	50	Fighting x2		1	Common	[C] Sonicboom: 10 damage. This attack's damage isn't affected by Weakness or Resistance.
Mareep (TRR)	TRR	TRR_067	Lightning	Basic	50	Fighting x2		1	Common	[C] Minor Errand-Running: Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. | [L][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 10 more damage.
Marill (TRR)	TRR	TRR_068	Water	Basic	50	Lightning x2		1	Common	[C] Minor Errand-Running: Search your deck for up to 2 basic Energy cards, show them to your opponent, and put them into your hand. Shuffle your deck afterward.
Onix (TRR)	TRR	TRR_069	Fighting	Basic	80	Water x2		3	Common	[C] Horn Rush: 10 damage. Flip a coin. If tails, this attack does nothing. | [F][C] Granite Head: 20 damage. During your opponent's next turn, any damage done to Onix by attacks is reduced by 10 (after applying Weakness and Resistance).
Psyduck (TRR)	TRR	TRR_070	Water	Basic	50	Lightning x2		1	Common	[C] Gentle Slap: 10 damage. | [W] Headache: Flip a coin. If heads, your opponent can't play a Trainer card from his or her hand until the end of your opponent's next turn.
Rattata (TRR-1)	TRR	TRR_071	Colorless	Basic	40	Fighting x2		1	Common	Poke-Body: Scramble. As long as your opponent has any Pokemon-ex as his or her Active Pokemon, the Retreat Cost for Rattata is 0. | [C] Fury Swipes: 10x damage. Flip 3 coins. This attack does 10 damage times the number of heads.
Rattata (TRR-2)	TRR	TRR_072	Colorless	Basic	40	Fighting x2		1	Common	[C] Call for Family: Search your deck for a Basic Pokemon and put it onto your Bench. Shuffle your deck afterward. | [C] Snarl: Flip a coin. If heads, this attack does 10 damage to the Defending Pokemon. If tails, the Defending Pokemon is now Paralyzed.
Remoraid (TRR)	TRR	TRR_073	Water	Basic	50	Lightning x2		1	Common	[C] Energy Draw: Flip a coin. If heads, search your deck for a basic Energy card and attach it to Remoraid. Shuffle your deck afterward. | [W] Razor Fin: 10 damage.
Sandshrew (TRR)	TRR	TRR_074	Fighting	Basic	50	Grass x2		1	Common	[C] Rear Kick: 10 damage. | [C][C] Swift: 20 damage. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.
Sentret (TRR)	TRR	TRR_075	Colorless	Basic	50	Fighting x2		1	Common	[C] Friend Search: Look at the top 5 cards of your deck. Choose a Basic Pokemon or Evolution card you find there, show it to your opponent, and put it into your hand. Put the other 4 cards back on top of your deck. Shuffle your deck afterward. | [C] Surprise Attack: 20 damage. Flip a coin. If tails, this attack does nothing.
Slowpoke (TRR)	TRR	TRR_076	Psychic	Basic	50	Psychic x2		1	Common	Poke-Body: Dense. Any damage done to Slowpoke by attacks from your opponent's Evolved Pokemon is reduced by 10 (after applying Weakness and Resistance). | [C] Bite: 10 damage.
Slugma (TRR)	TRR	TRR_077	Fire	Basic	50	Water x2		2	Common	[R] Singe: Flip a coin. If heads, the Defending Pokemon is now Burned. | [C][C] Heat Tackle: 30 damage. Slugma does 10 damage to itself.
Spinarak (TRR)	TRR	TRR_078	Grass	Basic	50	Fire x2		1	Common	[C] Collect: Draw a card. | [G][C] Rising Lunge: 20+ damage. Flip a coin. If heads, this attack does 20 damage plus 10 more damage.
Swinub (TRR)	TRR	TRR_079	Fighting	Basic	50	Grass x2		1	Common	[C] Tackle: 10 damage. | [C][C] Rest: Remove all Special Conditions and all damage counters from Swinub. Swinub is now Asleep.
Voltorb (TRR)	TRR	TRR_080	Lightning	Basic	40	Fighting x2		1	Common	[C] Psycho Waves: Discard an Energy card attached to Voltorb. The Defending Pokemon is now Confused. | [C] Thunder Wave: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Wooper (TRR)	TRR	TRR_081	Water	Basic	50	Grass x2		1	Common	Poke-Body: Saturation. When you attach a [W] Energy card from your hand to Wooper, remove all Special Conditions and 1 damage counter from Wooper. | [W] Wave Splash: 10 damage.
Zubat (TRR)	TRR	TRR_082	Grass	Basic	50	Psychic x2		1	Common	[C] Dark Streak: Flip a coin. If heads, each Defending Pokemon is now Paralyzed. | [G][C] Ambush: 20+ damage. Flip a coin. If heads, this attack does 20 damage plus 10 more damage.
Copycat (TRR)	TRR	TRR_083		Trainer - Supporter					Uncommon	You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokemon. When your turn ends, discard this card. | Shuffle your hand into your deck. Then, count the number of cards in your opponent's hand and draw that many cards.
Pokemon Retriever (TRR)	TRR	TRR_084		Trainer - Rocket's Secret Machine					Uncommon	Search your discard pile for Basic Pokemon and Evolution cards. You may either show 1 Basic Pokemon or Evolution card to your opponent and put it into your hand, or show a combination of 3 Basic Pokemon or Evolution cards to your opponent and shuffle them into your deck.
